"well" "hyvin"
"bbs" "BBS, keskustelupalsta"
"prolly" "todennäköisesti"
"atlantic" "atlanttinen"
"charter" "charter-matka"
"communications" "viestintä"
"behaved" "käyttäytyvä"
"karaoke" "karaoke"
"rodeo" "rodeo"
"beers" "oluet"
"incriminating" "syyllistävä"
"snowball" "lumipallo"
"canadian" "kanadalainen"
"drooling" "kuolata"
"planes" "lentokoneet"
"readership" "lukijakunta"
"hiccup" "hikka"
"captive" "vankina"
"deliver" "saattaa"
"taped" "teipattu"
"recipient" "vastaanottaja"
"petting" "hyväillen"
"soap" "saippua"
"operas" "oopperat"
"clip" "klipsi"
"lucas" "valoisa"
"appearances" "esiintymiset"
"narrowly" "tiukasti"
"elusive" "vaikeasti tavoiteltava"
"lazing" "laiskotella"
"regretting" "katuvat"
"intrigue" "salajuoni"
"getaways" "paot"
"victoria" "voitto"
"smoker" "tupakoitsija"
"smokers" "tupakoijat"
"wealth" "vauraus"
"stardust" "tähtituhka"
"classical" "klassinen"
"remotely" "etäisesti"
"insightful" "oivaltava"
"obsession" "pakkomielle"
"catastrophe" "katastrofi"
"progressed" "edistynyt"
"declined" "laskenut"
"violently" "väkivaltaisesti"
"reconciled" "sovittaa"
"presumably" "oletettavasti"
"reactions" "reaktiot"
"pupil" "oppilas"
"clearer" "selkeämpi"
"incorrect" "väärä"
"swore" "vannoa"
"climaxed" "saavutettu huippu"
"crushes" "murskaa"
"es" "tai (huom. käytetään No es No -alternatiivina)"
"kosher" "kosher"
"clung" "kiinni"
"orphan" "orpo"
"sighs" "huokailu"
"butcher" "teurastaja"
"vow" "lupaus"
"avoided" "vältetty"
"smother" "tukehduttaa"
"genetics" "genetiikka"
"trek" "vaellus"
"murmured" "supisi"
"grunt" "murista"
"conferring" "neuvotteleva"
"ian" "nuori aikuinen"
"sophomores" "toisen vuoden opiskelijat"
"flirting" "flirttaileva"
"chores" "kotityöt/askareet"
"fleeing" "pakeneminen"
"snowing" "sataa lunta"
"synonym" "synonyymi"
"advertised" "mainostettu"
"advocate" "puolestapuhuja"
"shell" "kuori"
"bosch" "työkalumerkki"
"shout" "huutaa"
"interacting" "vuorovaikutuksessa"
"quintessential" "tyypillinen"
"mannequins" "mannekiineja"
"flexed" "jännittynyt, pingottunut"
"chanting" "huutaminen"
"slogans" "iskulauseet"
"marched" "marssi"
"columbian" "kolumbialainen"
"fighter" "taistelija"
"hunkered" "kyhnytetty"
"critiqued" "kritisoitu"
"valuable" "arvokas"
"hopefuls" "toivorikkaat"
"wagging" "hännän heiluttaminen"
"flapping" "läpsyttely/liikuttelu"
"ovation" "suosionosoitus"
"bowed" "kumarassa"
"autograph" "nimikirjoitus"
"strolled" "kuljeskelu, kävelymatka"
"brutality" "julmuus"
"humped" "paneskeltu"
"hurl" "heittävä"
"noodle" "nuudeli"
"muffins" "muffinit"
"muffin" "muffini"
"hebrew" "heprealainen"
"developing" "kehittävä"
"myriad" "lukematon"
"yer" "sinun"
"vest" "liivi"
"discuss" "keskustella"
"environments" "ympäristöt"
"existent" "oleva"
"buddha" "buddha, buddhalainen"
"idolize" "ihailla"
"imposed" "määrätty"
"suggests" "ehdottaa"
"impacts" "vaikutukset"
"arabic" "arabia"
"et" "yksi"
"cetera" "ja niin edelleen"
"constructive" "rakentava"
"adores" "ihannoiva"
"comings" "tulevat tapahtumat / tulo"
"accomplishing" "saavutettiin"
"quell" "se"
"mute" "mykkä"
"viewing" "katselu"
"downward" "alaspäin suuntautuva"
"hybrids" "hybridit"
"despise" "halveksua, inhoaa"
"buddhist" "buddhalainen"
"cannibalistic" "kannibalistinen"
"genes" "geenit"
"flattering" "imarteleva"
"pantheon" "panteoni"
"legos" "Legot"
"roman" "roomalainen"
"rome" "Rooma"
"poorly" "huonosti"
"grader" "arvioija"
"thesaurus" "synonyymisanakirja"
"assured" "varma"
"drones" "lennokit"
"busses" "kuljettaa"
"arriving" "saapuminen"
"calibrated" "kalibroitu"
"rednecks" "punaniskat"
"sledding" "kelkkailla"
"gideon" "giidoni"
"humanity" "inhimillisyys"
"taping" "teippi"
"biological" "biologinen"
"gorged" "ahne"
"predecessors" "edeltäjät"
"limitations" "rajoitukset"
"traveller" "matkustaja"
"lemonade" "sitruuna limonadi"
"threat" "uhka"
"decaying" "rappeutuminen"
"backbone" "selkäranka"
"harbour" "satama"
"failsafe" "toimintavarma"
"perpetual" "ikuinen"
"thrive" "menestyä"
"neo" "Neo"
"billion" "miljardi"
"multiplied" "moninkertaistettu"
"decline" "vähenee"
"eliminated" "eliminoida"
"voyage" "matka"
"invention" "keksintö"
"treachery" "petos"
"endeavor" "pyrkimys"
"evolve" "kehittyä"
"tycoon" "tycoon (rikas ja vaikutusvaltainen henkilö)"
"breadwinner" "leipuri"
"dissolve" "liueta"
"provinces" "maakunta"
"provincial" "maakunnallinen"
"elections" "vaalit"
"substantial" "merkittävä"
"funding" "rahoitus"
"awareness" "tietoisuus"
"graded" "luokiteltu"
"empower" "voimaannuttaa"
"elect" "valittu"
"acquired" "hankittu/hankittu"
"negligent" "huolimaton"
"deem" "pitää jonakin"
"uniting" "yhdistämään"
"peaceful" "rauhallinen"
"cape" "viitta"
"cod" "turska"
"prey" "saalis"
"backstory" "taustatarina"
"invented" "keksitty"
"appreciating" "arvostaminen"
"nuts" "pähkinät"
"molecule" "molekyyli"
"iron" "rauta"
"closes" "sulkeutuu"
"connery" "Connery (sukunimi)"
"monologues" "monologit"
"poster" "juliste"
"commericals" "mainokset"
"verbs" "verbit"
"obese" "lihava"
"bald" "kalju"
"bending" "taivuttaminen"
"slobbering" "kuolaten"
"heaving" "ponnistelu"
"trunks" "uimahousut"
"piggy" "sika"
"recalled" "muistellee"
"trench" "juoksuhauta"
"seeks" "etsii"
"enslave" "orjuuttaa"
"adaptation" "sopeutuminen"
"lily" "lilja"
"precise" "tarkka"
"auggh" "äh"
"capitalism" "kapitalismi"
"flee" "paeta"
"spite" "kateus"
"terrorize" "terrorisoida"
"powder" "jauhe"
"laughable" "naurettava"
"sars" "SARS-virus"
"molecules" "molekyylit"
"crimes" "rikokset"
"horrific" "kauhistuttava"
"dots" "pisteet"
"perpetrators" "syylliset"
"witnesses" "todistajat"
"toughen" "kovettaa"
"civilians" "siviilit"
"disposal" "hävitys"
"enable" "mahdollistaa"
"vigilant" "valppaana"
"horrors" "kauhut"
"survives" "selvitä hengissä"
"policeman" "poliisi"
"policemen" "poliisit"
"loaded" "lastattu"
"concealed" "peitetty"
"shootout" "tulitusta"
"shootouts" "tulitaistelut"
"brainwashed" "aivopesty"
"labor" "työ, työnteon välineet"
"corporations" "yritykset"
"rebelling" "kapinoiva"
"sting" "pistettynä"
"ultimately" "lopulta"
"socrates" "Sokrates"
"devout" "hurskas"
"decides" "päättää"
"cites" "lainata"
"victorian" "viktoriaaninen"
"guerilla" "sissi"
"reload" "uudelleenlataus"
"stomachs" "vatsat"
"invent" "keksiä"
"airplanes" "lentokoneet"
"strokes" "iskut"
"resisting" "vastustaa"
"tensed" "jännittynyt"
"tugging" "vetää"
"resists" "vastustaa"
"dominance" "hallitsevuus"
"statue" "patsas"
"silhouette" "siluetti"
"crimson" "karmiini"
"symbol" "symboli"
"credible" "uskottava"
"speculate" "spekuloida"
"deluded" "harhautettu"
"socialist" "sosialistinen"
"convert" "kääntää (Finnish)"
"ism" "-ismi"
"multicultural" "monikulttuurinen"
"dicks" "mulkut"
"editor" "toimittaja"
"publishing" "julkaiseminen eli kirjan tai muun materiaalin levittäminen"
"czar" "tsaari"
"refute" "kumota"
"surprisingly" "yllättäen"
"criticisms" "arvostelut"
"enormously" "valtavasti"
"promotion" "ylennys"
"filthy" "likainen"
"decade" "vuosikymmen"
"revised" "tarkistaa uudelleen"
"fading" "haalistuva"
"tripled" "triplattu"
"quadrupled" "nelinkertaistunut"
"fluent" "sujuva"
"clapping" "taputtaa"
"esoteric" "eksoteerinen"
"warmth" "lämpö"
"greener" "vihertävä"
"grasses" "ruohot"
"salty" "suolainen"
"tangy" "hapan"
"moisture" "kosteus"
"seeping" "vuotava"
"cleverly" "älykkäästi"
"disguised" "pukeutunut valeasussa"
"tourist" "turisti"
"trap" "ansa"
"shops" "kaupat"
"beaches" "rannat"
"descended" "laskeutunut"
"hides" "piilottelee"
"darker" "synkkä"
"calamity" "onnettomuus"
"remarkable" "huomionarvoinen"
"reversed" "käänteinen"
"tempted" "houkuteltu"
"salacious" "rietas"
"vision" "näkemys;"
"tangle" "solmussa"
"canals" "kanavat"
"clog" "tukkeuma"
"synapses" "synapsit"
"grit" "sisukkuus"
"fabled" "sadunomainen"
"consciousness" "tietoisuus"
"ornaments" "koristeet"
"bygone" "menneisyyden"
"eras" "olit"
"minus" "miinus, vajaa"
"emperor" "keisari"
"julius" "Julius"
"caesar" "Caesar (historiallinen henkilö)"
"octavian" "octavigan (nimen taivutus)"
"mediterranean" "Välimeren"
"waning" "vähenevä"
"fairies" "keijuja"
"britain" "Britannia"
"divisions" "jaottelut"
"european" "eurooppalainen"
"beleive" "uskoa"
"splitting" "jakamassa"
"constantine" "Konstantin"
"catholics" "katoliset"
"gleam" "hohtaa"
"brightly" "kirkkaasti"
"crusades" "ristiretket"
"turks" "turkkilaiset, muukalaiset"
"resemblance" "samankaltaisuus"
"messiah" "messias"
"palestine" "Palestiina, Palestiinalainen"
"guessing" "arvaaminen, veikkaaminen"
"bedouin" "arabialainen paimentolainen"
"arabians" "arabialainen"
"nomadic" "kiertolainen"
"centuries" "vuosisatojen"
"mohammed" "Mohammed"
"region" "alue"
"qualified" "pätevä"
"charismatic" "karismaattinen"
"figurehead" "hahmo"
"taunt" "kiusoitella"
"garner" "oikeutta/nostoa"
"hostages" "panttivangit"
"terrifying" "pelottava"
"tirelessly" "väsymättä"
"roadways" "tienvarret"
"settlements" "asutukset"
"bases" "perustat"
"bog" "suo"
"isolate" "eristää"
"gunfire" "ampuminen"
"blasts" "räjähdykset"
"risks" "riskit"
"foreigners" "ulkomaalaiset"
"satellites" "satelliitit"
"tricky" "juonikas"
"outnumbered" "alisteltu"
"outgunned" "ylivoimainen aseella"
"fleet" "laivasto"
"housing" "asuminen"
"blockade" "saarto/estää"
"involve" "osallistua"
"portions" "annokset"
"thinnest" "ohuin"
"remaining" "jäljellä"
"gibraltar" "Gibraltar"
"nearing" "lähestyvä"
"farther" "kauemmas"
"scholars" "tutkijat"
"autopilot" "automaattiohjaus, autopilotti"
"unconsciousness" "tajuttomuus"
"emaciated" "nääntynyt"
"richest" "rikkain"
"execs" "korkeat johtajat"
"hideous" "kauhea"
"membrane" "kalvo"
"coating" "pinnoite"
"pillars" "pylväät"
"insults" "loukkaukset"
"sparring" "harjoitteluottelu"
"accumulated" "kertynyt"
"unconsciously" "tiedostamatta"
"contradicting" "kumoava"
"detriment" "vahinko"
"openly" "avoimesti"
"collapsed" "romahtaminen"
"privately" "yksityisesti"
"entertain" "viihdyttää, huvittaa"
"restrain" "rajoittaa, pidättää"
"discussions" "keskustelut"
"unreliable" "epäluotettava"
"ethic" "moraali"
"unstable" "epävakaa"
"excessively" "liiallisesti"
"intents" "mielessä"
"scum" "roska"
"insult" "loukata"
"moron" "idiootti"
"affecting" "vaikuttaminen"
"habits" "tavat"
"remained" "jäivät jäljelle"
"croak" "rapista, kuolla"
"toad" "rupikonna"
"nuclear" "ydin-"
"rued" "suri"
"teens" "teini-ikäiset"
"fuel" "polttoaine"
"vexed" "ärtynyt"
"resulted" "johtanut"
"chilluns" "lapset"
"promptly" "välittömästi"
"slavery" "orjuus"
"jerusalem" "Jerusalem / verb, RGB(255, 204, 153), linnoittaa"
"slay" "tappaa"
"heretic" "harhaoppinen"
"saracens" "saraseenit, muslimi"
"isabella" "Isabela-niminen henkilö"
"environmental" "ympäristöllinen"
"disaster" "katastrofi"
"hippy" "hippi"
"helicopter" "helikopteri"
"midair" "puolivälissä ilmassa"
"pricked" "pistelty"
"morphine" "morfiini"
"milf" "nuorekas äiti"
"donnie" "donnie"
"stereotypical" "stereotyyppinen"
"director" "johtaja"
"alamo" "symboli"
"frequency" "taajuus"
"braveheart" "urhomyrsky"
"sensual" "aistillinen"
"veil" "huntu"
"bombing" "pommitus"
"germans" "saksalaiset"
"pompous" "mahtaileva"
"bountiful" "runsas"
"bangs" "otsatukka, paukahdukset"
"amy" "Amy"
"assist" "avustaa"
"shields" "kilvet"
"mesmerize" "lumota"
"hypnotize" "hypnotisoida"
"lest" "ettei"
"dale" "laakso"
"earnhardt" "Earnhardt, sukunimi"
"commemorative" "muistomerkki"
"thyself" "sinä itse"
"reagan" "Reagan"
"agony" "tuska"
"deaths" "kuolemat"
"yin" "yin"
"yang" "yang, kiinalainen filosofia"
"extremity" "äärikorostus"
"seed" "siemen"
"extremes" "ääriehtoja"
"moderation" "maltillisuus"
"systems" "järjestelmät"
"rants" "raivonpurkaukset"
"avidly" "innokkaasti"
"hysterical" "hysterinen"
"hatred" "viha"
"gays" "homot"
"stems" "varret"
"insecurity" "turvattomuus"
"agnostic" "agnostismi"
"toters" "reppu"
"educate" "kouluttaa"
"homosexual" "homoseksuaalinen"
"abomination" "kauhistus"
"altar" "alttari, jumalanpalvelus"
"odor" "haju"
"lev" "levitä"
"neighbors" "naapurit"
"smite" "iskeä"
"sanctioned" "puoltaa"
"menstrual" "kuukautiskierto"
"possess" "omistaa"
"slaves" "orjat"
"claims" "vaatimukset/vaatia"
"clarify" "selventäminen"
"neighbor" "naapuri"
"insists" "vaatii"
"shellfish" "äyriäinen"
"defect" "vika"
"wiggle" "vääntää"
"forbidden" "kielletty"
"unclean" "likainen"
"gloves" "hanskat"
"farm" "maatila"
"crops" "sadot"
"polyester" "polyesteri"
"affair" "suhde"
"murderous" "murhaava"
"cited" "lainattu"
"craziest" "hulluin"
"fuckers" "vittupäät"
"nutty" "hassu"
"elites" "eliitit"
"fido" "uskollisuus"
"longingly" "kaipaavasti"
"invade" "hyökätä"
"warlord" "sotaherra"
"joseph" "Joosef"
"circa" "noin"
"17th" "seitsemästoista"
"withering" "kuoleminen"
"jfk" "JFK (John F. Kennedy)"
"lime" "limetti"
"salsa" "salsa"
"decker" "pesee kaikki pelit"
"quiznos" "amerikkalainen ravintolaketju"
"albums" "albumit"
"cancun" "Cancún"
"shits" "paskat"
"grammy" "Grammy"
"clap" "aplodi"
"chronicles" "kronikka"
"broaden" "leventää"
"shears" "viiltimet"
"satellite" "satelliitti"
"hookup" "tapailu"
"ca" "voi"
"thrills" "jännitystä"
"dominos" "dominopalikat"
"pepperoni" "pepperoni"
"mb" "muistin käyttö"
"vince" "Vince"
"boz" "harmaa"
"manhattan" "Manhattan (alue New Yorkissa)"
"manitoba" "Manitoba"
"pas" "hyvitys"
"leatherface" "Nahkanaama (vaihtoehtoisesti Nahkanaama)"
"cooked" "kypsennetty/pilalla"
"roasted" "paahdettu"
"subway" "maanalainen"
"swan" "joutsen"
"ordering" "järjestys"
"appetizer" "alkupala"
"platter" "tarjotin"
"slots" "kolikkopeli / aukko"
"rippers" "repijät"
"buds" "silmut"
"tit" "tissi"
"contamination" "saastuminen"
"collide" "törmätä"
"kit" "väkipakko"
"fizzy" "kupliva"
"sega" "Sega"
"dreamcast" "unelmalevy"
"jawbreaker" "leukamurtaja (slang)"
"clutch" "kytkin"
"tyrant" "tyranni"
"beef" "naudanliha"
"jerky" "nytkähtelevä"
"ikes" "hyi"
"mustard" "sinappi"
"thief" "varas"
"crackers" "sekopäisen"
"slices" "viipaleet"
"melted" "sulanut"
"microwave" "mikroaaltouuni"
"cherry" "kirsikkainen"
"grandaddy" "isoisä"
"toothpick" "hammastikku"
"marshmallow" "vaahtokarkki"
"messenger" "lähetti"
"emoticons" "hymiöt"
"sara" "koko"
"onyx" "onyksi (kivilaji)"
"recording" "tallentava"
"jimmys" "vipuvarret"
"terrorist" "terroristi"
"crunk" "bailata/vapautua (tanssityylistä)"
"watchmen" "vahdit"
"darren" "Darren (name)"
"requiem" "requiem"
"pi" "pi"
"swiss" "sveitsiläinen"
"heineken" "Heineken (brand name)"
"asteroid" "asteroidi"
"mitch" "poikkea"
"malt" "malttamismehiläisen aktiiviteetti"
"fredo" "Fredo"
"stevens" "stevens (Ei löydy suomen kielestä, voitaisiin käyttää mahdollisesti stevensinä)"
"ch" "yökerho"
"canker" "haavauma"
"sores" "haavauma"
"pibb" "virvoitusjuoma"
"chew" "pureskella;"
"dios" "jumala"
"elliott" "Elliott (sukunimi)"
"bbq" "BBQ (barbecue)"
"curb" "jalkakäytävän reunakivi/rajoittaa"
"dane" "tanskalainen"
"spicy" "tulinen"
"cajun" "cajun-ruoka, cajun-ravintolat"
"pringles" "perunalastuja"
"tums" "närästyslääke"
"buffalo" "biisonit"
"labels" "etiketit/merkit"
"underrated" "aliarvostettu"
"golfing" "golf"
"owes" "velkaa"
"mentos" "mentos (referring to the candy)"
"boutique" "putiikki"
"wowee" "onkohan, vau, hämmästys"
"queens" "kuningattaret"
"xo" "ex-ystävä"
"radiohead" "radio-pää"
"chili" "chiliä"
"peppers" "jalapeno"
"sugar" "sokeri"
"biatch" "narttu"
"purchases" "ostokset"
"montana" "Montana"
"cursing" "kiroileminen"
"dill" "tilli"
"pickle" "suolakurkku"
"spitz" "teräväkärkinen"
"staggering" "huimaava"
"urine" "virtsa"
"litre" "litra"
"drinkers" "juojat, kipparit"
"spectacle" "näytelmä"
"steady" "tasainen"
"tits" "tissit"
"crosby" "Crosby (henkilö, paikka tai esine)"
"ringer" "kopio"
"rockstar" "rocktähti"
"sperm" "siittiö"
"wheelchair" "pyörätuoli"
"workin'" "ahkera"
"crazies" "Hullut"
"frolic" "huvitella"
"indirectly" "välillisesti"
"adrian" "Adrian"
"anonymity" "nimettömyys"
"allah" "Allah"
"responds" "vastaa"
"capitalize" "kirjoita isolla alkukirjaimella"
"noun" "substantiivi"
"equivalent" "vastaava"
"islam" "islam"
"chagrin" "suru"
"petulant" "äkkipikainen"
"protagonist" "päähenkilö"
"proceeds" "tulo"
"pinpoint" "paikallistaa"
"auditory" "auditiivinen"
"succinct" "tiiviisti ilmaistu"
"pda" "henkilökohtainen digitaalinen apuväline"
"thereby" "siten"
"communities" "yhteisöt, yhteiskunnat"
"journals" "päiväkirjat"
"endorsement" "tukeminen/hyväksyminen"
"raging" "raivoava"
"gurgling" "kurnutus"
"leftover" "jäjellä oleva"
"kentucky" "Kentucky"
"spew" "sylkeä"
"cortex" "aivokuori"
"lifespan" "elinikä"
"catcher" "pyydystäjä"
"rye" "ruis; adjective, RGB(153, 76, 0), sarvipäinen"
"composition" "koostumus"
"unwatched" "valvomatta"
"directing" "ohjaava"
"overdrive" "ylikierroksilla"
"hong" "honka"
"flicks" "hipaisu"
"gunplay" "aseellinen väkivalta"
"insufferable" "sietämätön"
"replete" "runsas; täysi"
"idioms" "idiomit"
"colloquialisms" "arkikieli"
"quivering" "väristä"
"rip" "repiä"
"flap" "lätkyttää"
"heel" "kanta"
"g1" "ensimmäisen"
"passenger" "matkustaja"
"driver's" "kuljettajan"
"referee" "erotuomari"
"notre" "meidän"
"dame" "rouva/neiti"
"burlington" "burlington"
"bicycle" "polkupyörä"
"transportation" "kuljetus"
"cisco" "cisco (no Finnish translation found)"
"shifts" "työvuoro, vaihdos"
"surf" "surffata"
"exclusive" "yksinomainen"
"85" "85"
"crammed" "ahdattu"
"cafeteria" "kanttiini"
"yearbook" "vuosikirja"
"yearbooks" "vuosikirjat"
"sci" "sukset / tieteelliset toimielimet"
"looming" "uhkaava"
"flipped" "kääntäminen"
"pesos" "pesot"
"advil" "Advil (mahdollinen kipulääke)"
"bc" "ennen ajanlaskun alkua"
"alberta" "Alberta (Kanadan provinssi)"
"salmon" "lohi"
"travelogue" "matkakertomus"
"sd" "SD-kortti"
"worms" "madot, toukat"
"unsteady" "epävakaa"
"euro" "euro"
"conveniently" "kätevästi"
"albert" "Albert"
"einstein" "nero/Einstein"
"tijd" "aika"
"overzealous" "liian innokas"
"pleasantries" "kohteliaisuudet"
"realizes" "tajuaa, ymmärtää"
"operator" "operoija"
"declare" "julistaa"
"charger" "laturi"
"sedan" "sedan"
"par" "pariksi"
"tipping" "kallistus"
"momentous" "merkittävä, tärkeä"
"recovered" "palautettu"
"plea" "anomus"
"hounds" "metsästäjät"
"pajamas" "pyjama"
"bananas" "banaanit"
"simultaneously" "samanaikaisesti"
"sizes" "koot"
"screeching" "kirskuna"
"merde" "paska"
"bland" "mauton/tavallinen"
"tinker" "tuunata"
"potter" "köykäspotkuja"
"bide" "odottaa"
"noose" "hirttosilmukka"
"chewing" "pureskella"
"tinfoil" "tinapaperi"
"cheering" "kannustaminen"
"wallpaper" "tapetti"
"comforting" "lohduttava"
"airbags" "turvatyynyt"
"chinatown" "kiinalaistertsi"
"interfere" "häiritä"
"teddy" "nalle"
"multitude" "paljous"
"messes" "pilaantumiset"
"copyright" "tekijänoikeus"
"ludicrous" "naurettava"
"ourself" "itsestään; preposition, RGB(204, 0, 204), itsenä"
"definitions" "määritelmiä"
"electricity" "sähköä"
"millenium" "vuosituhanne"
"te" "te"
"apalling" "kauhistuttava"
"trample" "tallaaminen"
"spreading" "levittäminen"
"bagel" "pyöreä leivonnainen"
"gucci" "tyylikäs"
"uneventful" "tapahtumaton"
"cuisine" "ruokakulttuurin"
"sauce" "kastike"
"chunks" "palaset, möhkäleet"
"carrots" "porkkanat"
"microwaved" "mikroaaltouunissa kypsytetty"
"munchies" "nälkä"
"nifty" "kiva"
"speakerphone" "kaiutinpuhelin"
"concerns" "huolenaiheet"
"inconvenient" "hankala"
"nodding" "nyökyttelevä."
"longest" "pisin"
"deficit" "alijäämä"
"surplus" "ylijäämä"
"spiteful" "ilkeä"
"essays" "essee"
"seventy" "seitsemänkymmentä"
"bamboo" "bambu"
"arguments" "väitteet"
"ceramic" "keramiikka"
"hardwood" "lujapuu"
"tile" "laatta"
"carbonized" "hiiltynyt"
"indestructible" "mahdoton tuhota"
"watermelon" "vesimeloni"
"juicy" "mehevä"
"watermelons" "vesimeloni"
"caller" "kävijä"
"overheard" "kuullut sattumalta"
"fable" "satu"
"enchanted" "lumottu"
"notion" "ajatus"
"sewing" "ompelu"
"stitching" "ompelu"
"finery" "hieno pukeutuminen"
"flatly" "jyrkästi"
"scammed" "huijattu"
"storming" "ryntääminen"
"barbeque" "grillijuhla"
"grilling" "grillaaminen"
"barefooted" "paljain jaloin"
"ow" "au"
"coloring" "värjäys"
"assembled" "koota"
"vitamins" "vitamiinit"
"flavored" "maustettu"
"pancakes" "pannukakut"
"montreal" "montreal"
"quebec" "Quebec"
"waiter" "tarjoilija"
"assholes" "idiootit"
"vendor" "myyjä"
"moan" "voihkia"
"fucks" "välität"
"painted" "maalaaminen"
"loses" "häviää"
"uneducated" "kouluttamaton"
"battlefields" "taistelukenttä"
"curls" "kiharat"
"fetal" "sikiöaikainen"
"comb" "kampa"
"quirks" "omituisuudet"
"bite" "purema/purra"
"misplaced" "sijoittaa väärin"
"comma" "pilkku"
"handles" "kahva"
"flaw" "vika"
"snapple" "Snapple (juomamerkki)"
"superior" "ylivertainen"
"tu" "kuule/tusina"
"merci" "kiitos"
"hurricane" "hurrikaani"
"isabel" "Isabelin nimimerkki"
"oodles" "paljon"
"depot" "varasto"
"plunger" "uppopumppu"
"lounges" "oleskelutilat"
"flour" "jauho"
"spiked" "niin kovaa"
"vodka" "vodka"
"dee" "äänteellinen ilmaisu tai loppusävel"
"hitman" "palkkamurhaaja"
"kidnap" "siepata"
"remote" "etäinen"
"quartered" "vuoroteltuja"
"corrected" "korjata"
"paradox" "paradoksi"
"viii" "kahdeksas"
"bbc" "BBC (Britannian yleisradioyhtiö)"
"americas" "Amerikat"
"executed" "teloitettu"
"cheddar" "cheddar-juusto"
"crumbs" "murut"
"corridors" "käytävät"
"blackout" "sähkökatko"
"distribution" "jakaminen"
"foward" "eteenpäin suuntautunut"
"copies" "kopiot"
"preliminary" "alustava"
"invalid" "epäkelpo"
"callous" "tunnoton"
"lollipops" "imeskeltävä makeinen"
"abductor" "kaappaaja/sieppaaja"
"abducted" "siepattu"
"gallon" "gallona"
"immortal" "kuolematon"
"alert" "varovainen, valppaana"
"phyllis" "Phyllis"
"cohen" "Cohen"
"hangs" "roikkuu"
"cabbies" "taksi"
"ballpoint" "kuulakärkikynä"
"boogers" "nenänpäästöt"
"splices" "liittää yhteen"
"nagging" "piinaava"
"quotation" "sitaatti"
"aesthetic" "esteettisyys"
"atrocity" "hirvittävyys"
"bloated" "turvonnut"
"345" "kolmesataaneljäkymmentäviisi"
"smilies" "hymiöt"
"pessimistic" "pessimistinen"
"hops" "humalat"
"bopping" "pomppiminen"
"cyanide" "syanidi"
"italics" "kursivoitu fontti"
"underlining" "alleviivaava"
"obligations" "velvoitteet"
"downside" "haittapuoli"
"rated" "arvioitu"
"guardian" "holhooja"
"shootings" "ampumiset"
"stabbings" "puukotukset"
"beatings" "pahoinpitelyt"
"amputations" "amputoinnit"
"weddings" "häät"
"chop" "leikkaa"
"plural" "monikin"
"demoted" "alennettu"
"retrospect" "menneisyys"
"gum" "purukumi"
"judgemental" "tuomitseva"
"boil" "kiehua"
"shithead" "mulkku"
"violin" "viulu"
"kindling" "sytykkeitä"
"commodity" "hyödyke"
"conspiracy" "salaliitto"
"legged" "jalallaan seisova"
"orleans" "Orleans"
"jakarta" "Jakarta"
"blinking" "räpsyttää silmiään"
"columbus" "Kolumbus"
"gluttony" "ahneus"
"cathedrals" "katedraali"
"employer" "työnantaja"
"hospitable" "vieraanvarainen"
"incompetent" "kyvytön"
"fooled" "huijattu"
"imax" "IMAX (kuvausformaatti/ketju)"
"blocking" "estäminen"
"reacted" "reagoida"
"senators" "senaattori"
"thwarted" "estetty"
"voting" "äänestäminen"
"superb" "erinomainen"
"issued" "julkaistu"
"spokesman" "tiedottaja"
"shameful" "häpeällinen"
"1957" "1957"
"famously" "kuuluisasti"
"handedly" "yksin"
"unmatched" "vertaamaton"
"miscarriage" "keskenmeno"
"futility" "turhuus"
"maple" "vaahtera"
"coined" "keksiä, luoda, lyödä kolikoksi"
"hinted" "vihjaili"
"supermarket" "supermarket, ruokakauppa"
"plentiful" "runsas"
"peachy" "persikkainen"
"evangelist" "evankelista"
"schemes" "suunnitelmia"
"domination" "valta-asema"
"breeding" "kasvatus"
"cannibals" "kannibaalit"
"flights" "lennot"
"destitute" "kärsivä"
"simmer" "kiehua"
"institutionalized" "instutionalisoitunut"
"incarcerated" "vangittu"
"spectacularly" "upeasti"
"intellectual" "intellektuelli"
"gamble" "uhkapeli"
"leisure" "vapaa-aika"
"rudely" "röyhkeästi"
"interrupted" "keskeytetty"
"cinnamon" "kaneli"
"procrastination" "viivyttely"
"precocious" "ennakoiva, etevä lapsi"
"suis" "olen"
"crusted" "kuorittu"
"herb" "yrtti"
"cranberry" "karpalo"
"reduction" "vähennys"
"il" "ilma (Finnish word for air/weather)"
"eminently" "erityisen"
"definitively" "ehdottomasti"
"confounded" "hämmentynyt, päästään pyörällä"
"cynic" "kyynikko"
"int" "sisäänrakennettu"
"hens" "kana/naaraslintu"
"micro" "pieni"
"chickens" "kanat"
"apeshit" "hullun raivon vallassa"
"fry" "paistaa"
"fragmented" "pirstoutunut"
"pincushion" "neulatyyny"
"psychopath" "psykopaatti"
"glitch" "häiriö"
"bashing" "lyöminen"
"philadelphia" "Philadelphia"
"correlation" "yhteys, korrelaatio"
"banner" "lippu"
"safari" "safarimatka"
"axe" "kirves"
"assassinated" "murhata"
"verbally" "suullisesti"
"eck" "kulma"
"caption" "kuvateksti"
"lick" "nuoleminen"
"vous" "te"
"valid" "pätevä"
"yale" "Yale (yliopisto tai kaupunki)"
"freedoms" "vapauksia"
"latter" "jälkimmäinen"
"capitol" "(suur)kaupunki, pääkaupunki"
